2026-06-18T20:57:35+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re21 | seed=4 | time=1451.3738145828247 | MSE_test=0.5398305604998799 | MSE_sur_real=15.381609663519045 | HV_sur=0.5791144082647229 | HV_real=0.5726256675441668 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:57:55+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re25 | seed=4 | time=1490.7353286743164 | MSE_test=34106157725.14942 | MSE_sur_real=268846375.99235713 | HV_sur=1.1218330848057998 | HV_real=1.121605415660827 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T20:59:04+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re24 | seed=4 | time=1482.9630234241486 | MSE_test=3.44488941509889 | MSE_sur_real=15.055390576559384 | HV_sur=1.187345963096239 | HV_real=1.1866472516350808 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:03:23+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=mo-portfolio | seed=4 | time=1652.0534627437592 | MSE_test=1.8762854345547693e-07 | MSE_sur_real=7.495133051123845e-05 | HV_sur=0.28529640081630087 | HV_real=0.25919765314584947 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:22:27+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=welded_beam | seed=5 | time=1606.260511636734 | MSE_test=131.83552060641208 | MSE_sur_real=0.06953007838038643 | HV_sur=0.5926624006329075 | HV_real=0.593129015481116 | HV_bounds_check=True | solution_count=37 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:23:03+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re23 | seed=5 | time=1672.049335718155 | MSE_test=137124526.4472287 | MSE_sur_real=505030347.6104642 | HV_sur=1.210246228683453 | HV_real=1.20957541882033 | HV_bounds_check=False | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:23:23+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re22 | seed=5 | time=1692.7216885089874 | MSE_test=1268.8340033420293 | MSE_sur_real=6.013063689716142 | HV_sur=1.207254187941992 | HV_real=1.2021906584288857 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:23:53+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=truss2d | seed=5 | time=1694.3277292251587 | MSE_test=1941446829739.4084 | MSE_sur_real=17297612.988923255 | HV_sur=1.1336223736372397 | HV_real=1.134324046722372 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:26:16+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re21 | seed=5 | time=1706.6970608234406 | MSE_test=0.5398305604998799 | MSE_sur_real=14.994704956271967 | HV_sur=0.5781860064064597 | HV_real=0.5717252487802632 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:28:29+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re25 | seed=5 | time=1818.1441576480865 | MSE_test=34106157725.14942 | MSE_sur_real=438669001.113803 | HV_sur=1.1218470740176258 | HV_real=1.1214880945865064 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:29:27+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=re24 | seed=5 | time=1804.7286310195923 | MSE_test=3.44488941509889 | MSE_sur_real=19.967821796639022 | HV_sur=1.1873651955089433 | HV_real=1.186673130162127 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None
2026-06-18T21:33:34+01:00 | method=TabPFN_3 | optimizer=NSGA-II | problem=mo-portfolio | seed=5 | time=1777.8828058242798 | MSE_test=1.8762854345547693e-07 | MSE_sur_real=9.501466745355833e-05 | HV_sur=0.3038475065297084 | HV_real=0.2737959445096841 | HV_bounds_check=True | solution_count=100 | no_feasible_solution=False | no_feasible_reason=None 
