
# 2026-06-17T19:28:27+01:00 | Prob-RVEA
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=21 | time=39.130136251449585 | MSE_test=708909.0537591684 | MSE_sur_real=12372.090194832954 | HV_sur=1.2099998625000175 | HV_real=1.0648148263095552 | HV_bounds_check=None | solution_count=28
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=22 | time=37.02141332626343 | MSE_test=708909.0537591684 | MSE_sur_real=46372.00245778514 | HV_sur=1.2099998625000175 | HV_real=1.0569841696635165 | HV_bounds_check=None | solution_count=36
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=23 | time=40.12299156188965 | MSE_test=708909.0537591684 | MSE_sur_real=245538.4678665251 | HV_sur=1.2099998625000175 | HV_real=0.8420910864737887 | HV_bounds_check=None | solution_count=13
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=24 | time=39.00120663642883 | MSE_test=708909.0537591684 | MSE_sur_real=47340.79266171297 | HV_sur=1.2099998625000175 | HV_real=0.8102756400663113 | HV_bounds_check=None | solution_count=27
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=25 | time=39.625641107559204 | MSE_test=708909.0537591684 | MSE_sur_real=9963730203288.512 | HV_sur=1.2099998625000175 | HV_real=0.7306786038991799 | HV_bounds_check=None | solution_count=14
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=26 | time=40.079880714416504 | MSE_test=708909.0537591684 | MSE_sur_real=42824.140612494884 | HV_sur=1.2099998625000175 | HV_real=1.0404535368974193 | HV_bounds_check=None | solution_count=10
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=27 | time=40.09905934333801 | MSE_test=708909.0537591684 | MSE_sur_real=98696.32116388867 | HV_sur=1.2099998625000175 | HV_real=0.72303355564872 | HV_bounds_check=None | solution_count=13
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=28 | time=39.796144247055054 | MSE_test=708909.0537591684 | MSE_sur_real=119644.25877097048 | HV_sur=1.2099998625000175 | HV_real=0.6210397655237139 | HV_bounds_check=None | solution_count=3
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=29 | time=40.06920075416565 | MSE_test=708909.0537591684 | MSE_sur_real=104897.47188597608 | HV_sur=1.2099998625000175 | HV_real=0.6662636819938602 | HV_bounds_check=None | solution_count=7
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re22 | seed=30 | time=39.20592951774597 | MSE_test=708909.0537591684 | MSE_sur_real=13252.39715994415 | HV_sur=1.2099998625000175 | HV_real=0.8905827804440503 | HV_bounds_check=None | solution_count=14
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=1 | time=27.205894231796265 | MSE_test=6453023716.500427 | MSE_sur_real=47679246927.91261 | HV_sur=1.5250061264456765 | HV_real=1.2075238257741374 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=2 | time=26.720399618148804 | MSE_test=6453023716.500427 | MSE_sur_real=46812779590.76214 | HV_sur=1.523422305228436 | HV_real=1.2077929677485366 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=3 | time=27.166404485702515 | MSE_test=6453023716.500427 | MSE_sur_real=47331119721.98901 | HV_sur=1.5242438452209575 | HV_real=1.2079439314134612 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=4 | time=26.99503254890442 | MSE_test=6453023716.500427 | MSE_sur_real=46187993796.229 | HV_sur=1.5150145786035265 | HV_real=1.2088381209674617 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=5 | time=26.85248112678528 | MSE_test=6453023716.500427 | MSE_sur_real=46413118804.05438 | HV_sur=1.5149294093795747 | HV_real=1.2085257626433583 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=6 | time=27.964353799819946 | MSE_test=6453023716.500427 | MSE_sur_real=45445181625.672264 | HV_sur=1.512117322125957 | HV_real=1.2083641279410426 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=7 | time=26.923452854156494 | MSE_test=6453023716.500427 | MSE_sur_real=46406119718.100105 | HV_sur=1.5196803182082381 | HV_real=1.2087941911658522 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=8 | time=27.288296937942505 | MSE_test=6453023716.500427 | MSE_sur_real=45847023635.664505 | HV_sur=1.5154331333844975 | HV_real=1.2065885765699917 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=9 | time=27.194178342819214 | MSE_test=6453023716.500427 | MSE_sur_real=45092201328.314255 | HV_sur=1.5187853075094675 | HV_real=1.2089987832198656 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=10 | time=26.806981325149536 | MSE_test=6453023716.500427 | MSE_sur_real=47828728958.13103 | HV_sur=1.5260061279354329 | HV_real=1.2082193392808933 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=11 | time=27.852598667144775 | MSE_test=6453023716.500427 | MSE_sur_real=48504611416.28537 | HV_sur=1.5261627102561959 | HV_real=1.2081874419752927 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=12 | time=26.762473583221436 | MSE_test=6453023716.500427 | MSE_sur_real=45043080894.32078 | HV_sur=1.5187785940379195 | HV_real=1.2082209684111458 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=13 | time=27.072693824768066 | MSE_test=6453023716.500427 | MSE_sur_real=44270747734.10794 | HV_sur=1.5159628749843816 | HV_real=1.2089036354381868 | HV_bounds_check=None | solution_count=49
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=14 | time=27.78074359893799 | MSE_test=6453023716.500427 | MSE_sur_real=47374342002.28855 | HV_sur=1.5255248538102824 | HV_real=1.2080857513852585 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=15 | time=28.108132123947144 | MSE_test=6453023716.500427 | MSE_sur_real=46389123370.48414 | HV_sur=1.5204282113728433 | HV_real=1.208516427859714 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=16 | time=26.40909719467163 | MSE_test=6453023716.500427 | MSE_sur_real=46691150093.82081 | HV_sur=1.5124890712755232 | HV_real=1.2084660838084198 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=17 | time=26.726240873336792 | MSE_test=6453023716.500427 | MSE_sur_real=44682620995.54097 | HV_sur=1.5163202030536997 | HV_real=1.208005230336991 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=18 | time=26.313153743743896 | MSE_test=6453023716.500427 | MSE_sur_real=44961626567.750786 | HV_sur=1.5129636144050822 | HV_real=1.2088673874107856 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=19 | time=27.056540727615356 | MSE_test=6453023716.500427 | MSE_sur_real=45506226043.9701 | HV_sur=1.5191789555880018 | HV_real=1.208724462841578 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=20 | time=26.35918641090393 | MSE_test=6453023716.500427 | MSE_sur_real=45895739183.37886 | HV_sur=1.5080011785398442 | HV_real=1.203284635274349 | HV_bounds_check=None | solution_count=48
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=21 | time=26.37098455429077 | MSE_test=6453023716.500427 | MSE_sur_real=46033660876.849655 | HV_sur=1.5143857119539508 | HV_real=1.2088846317588993 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=22 | time=26.78236222267151 | MSE_test=6453023716.500427 | MSE_sur_real=46617663081.64979 | HV_sur=1.5202886266032731 | HV_real=1.2073235751305582 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=23 | time=26.276201725006104 | MSE_test=6453023716.500427 | MSE_sur_real=46205840433.768654 | HV_sur=1.5199629317141088 | HV_real=1.2073792965389374 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=24 | time=26.445439100265503 | MSE_test=6453023716.500427 | MSE_sur_real=45044275282.98643 | HV_sur=1.5172272344485003 | HV_real=1.2087855771470344 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=25 | time=27.699608087539673 | MSE_test=6453023716.500427 | MSE_sur_real=46415476849.55561 | HV_sur=1.5169094957861584 | HV_real=1.2061659269095493 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=26 | time=28.25778579711914 | MSE_test=6453023716.500427 | MSE_sur_real=45299035164.35938 | HV_sur=1.5196942178525075 | HV_real=1.2081609046447546 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=27 | time=27.15790629386902 | MSE_test=6453023716.500427 | MSE_sur_real=46584487642.64465 | HV_sur=1.5218026140355032 | HV_real=1.2089119775060306 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=28 | time=36.543060064315796 | MSE_test=6453023716.500427 | MSE_sur_real=47912249169.5969 | HV_sur=1.519827345008413 | HV_real=1.208830327818554 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=29 | time=26.87360978126526 | MSE_test=6453023716.500427 | MSE_sur_real=44865118217.22494 | HV_sur=1.5197571014807927 | HV_real=1.2083134289197166 | HV_bounds_check=None | solution_count=50
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re23 | seed=30 | time=27.105730295181274 | MSE_test=6453023716.500427 | MSE_sur_real=44345520190.99462 | HV_sur=1.5178635473607933 | HV_real=1.208382628897386 | HV_bounds_check=None | solution_count=49
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=1 | time=26.898669719696045 | MSE_test=0.07423400264443211 | MSE_sur_real=77.755536930995 | HV_sur=1.18011959272161 | HV_real=1.1719044518087092 | HV_bounds_check=None | solution_count=48
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=2 | time=27.020735502243042 | MSE_test=0.07423400264443211 | MSE_sur_real=68.27235469918828 | HV_sur=1.1810203871203475 | HV_real=1.1724133240681007 | HV_bounds_check=None | solution_count=49
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=3 | time=27.4510395526886 | MSE_test=0.07423400264443211 | MSE_sur_real=58.893391824179254 | HV_sur=1.1743065092466298 | HV_real=1.1736358124793507 | HV_bounds_check=None | solution_count=48
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=4 | time=26.8940212726593 | MSE_test=0.07423400264443211 | MSE_sur_real=96.6145873190448 | HV_sur=1.1761634022420182 | HV_real=1.1730105753935298 | HV_bounds_check=None | solution_count=49
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=5 | time=27.088043689727783 | MSE_test=0.07423400264443211 | MSE_sur_real=53.25736241085447 | HV_sur=1.1747590316271908 | HV_real=1.171630146146598 | HV_bounds_check=None | solution_count=49
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=6 | time=28.04869031906128 | MSE_test=0.07423400264443211 | MSE_sur_real=111.22844326093431 | HV_sur=1.1730543387119163 | HV_real=1.1718725921753046 | HV_bounds_check=None | solution_count=46
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=7 | time=27.489616632461548 | MSE_test=0.07423400264443211 | MSE_sur_real=72.97916570764792 | HV_sur=1.1817896320434191 | HV_real=1.1727439295348043 | HV_bounds_check=None | solution_count=48
method=Prob-RVEA | optimizer=Prob-RVEA | problem=re24 | seed=8 | time=27.034337282180786 | MSE_test=0.07423400264443211 | MSE_sur_real=69.76664402818818 | HV_sur=1.1800140790895175 | HV_real=1.1753144106673723 | HV_bounds_check=None | solution_count=49
