
# 2026-06-17T16:24:16+01:00 | Autogluon_Ensemble
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=23 | time=10.191252708435059 | MSE_test=6802.0501741841235 | MSE_sur_real=177500.48296556997 | HV_sur=1.1623848226534297 | HV_real=1.2021982849438186 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=24 | time=10.182748079299927 | MSE_test=6802.0501741841235 | MSE_sur_real=149734.64438072985 | HV_sur=1.1623940325874862 | HV_real=1.202198404007322 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=25 | time=18.969942808151245 | MSE_test=6802.0501741841235 | MSE_sur_real=153553.3645660452 | HV_sur=1.16239482909756 | HV_real=1.2021984177327274 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=26 | time=9.4168119430542 | MSE_test=6802.0501741841235 | MSE_sur_real=185784.80614333524 | HV_sur=1.1623801308790545 | HV_real=1.2021981922697582 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=27 | time=10.104647874832153 | MSE_test=6802.0501741841235 | MSE_sur_real=163287.88743295817 | HV_sur=1.1623978405291076 | HV_real=1.202198422230216 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=28 | time=10.112907648086548 | MSE_test=6802.0501741841235 | MSE_sur_real=787675.8337703177 | HV_sur=1.162401099582085 | HV_real=1.202198423124049 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=29 | time=10.05557656288147 | MSE_test=6802.0501741841235 | MSE_sur_real=178986.59172251297 | HV_sur=1.16239327491189 | HV_real=1.20219841400212 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re22 | seed=30 | time=10.225336074829102 | MSE_test=6802.0501741841235 | MSE_sur_real=148329.28738968124 | HV_sur=1.162398969192242 | HV_real=1.2021984197062587 | HV_bounds_check=True | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=1 | time=22.926711320877075 | MSE_test=1264697180.4375858 | MSE_sur_real=7643698793.331703 | HV_sur=1.2277589820027819 | HV_real=1.2095502516191257 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=2 | time=23.299033641815186 | MSE_test=1264697180.4375858 | MSE_sur_real=9781056410.30843 | HV_sur=1.2277385785671369 | HV_real=1.2095490030150204 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=3 | time=24.028982877731323 | MSE_test=1264697180.4375858 | MSE_sur_real=2873415299.733131 | HV_sur=1.2273767431966938 | HV_real=1.2095701363572802 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=4 | time=23.60662603378296 | MSE_test=1264697180.4375858 | MSE_sur_real=12574907353.939953 | HV_sur=1.2270158643331115 | HV_real=1.2095668497732517 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=5 | time=22.465024709701538 | MSE_test=1264697180.4375858 | MSE_sur_real=6971188483.474699 | HV_sur=1.2276827371667194 | HV_real=1.209562137050654 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=6 | time=24.26532244682312 | MSE_test=1264697180.4375858 | MSE_sur_real=8839168141.838135 | HV_sur=1.2277237983561253 | HV_real=1.209563386910259 | HV_bounds_check=False | solution_count=100
method=Autogluon_Ensemble | optimizer=NSGA-II | problem=re23 | seed=7 | time=23.79542326927185 | MSE_test=1264697180.4375858 | MSE_sur_real=2735080294.7921453 | HV_sur=1.2276915694714268 | HV_real=1.2095726235432045 | HV_bounds_check=False | solution_count=100
