
# 2026-06-17T21:56:29+00:00 | GPR_RBF
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=3 | time=1.8366775512695312 | MSE_test=31131.265995659996 | MSE_sur_real=987932466474803.4 | HV_sur=1.2014121540129459 | HV_real=1.202198422704927 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=4 | time=2.078974962234497 | MSE_test=31131.265995659996 | MSE_sur_real=80767969593.85097 | HV_sur=1.1997013872096733 | HV_real=1.2021984227153775 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=5 | time=1.8980793952941895 | MSE_test=31131.265995659996 | MSE_sur_real=3.5951415334676205e+17 | HV_sur=1.2014121896030079 | HV_real=1.202198422796495 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=6 | time=1.8529510498046875 | MSE_test=31131.265995659996 | MSE_sur_real=4.431703758628428e+19 | HV_sur=1.2014121924244696 | HV_real=1.2021984228935176 | HV_bounds_check=False | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=7 | time=1.8086907863616943 | MSE_test=31131.265995659996 | MSE_sur_real=2.323175192613358e+16 | HV_sur=1.2014121836106895 | HV_real=1.2021984227426095 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=8 | time=1.868577003479004 | MSE_test=31131.265995659996 | MSE_sur_real=133319868181069.38 | HV_sur=1.2014121602107999 | HV_real=1.2021984183088066 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=9 | time=1.7738425731658936 | MSE_test=31131.265995659996 | MSE_sur_real=126692972464358.56 | HV_sur=1.2014121699614504 | HV_real=1.202198420426917 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=10 | time=1.7900326251983643 | MSE_test=31131.265995659996 | MSE_sur_real=5.854904829299982e+16 | HV_sur=1.2014121759020586 | HV_real=1.2021984225312532 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=11 | time=1.8982231616973877 | MSE_test=31131.265995659996 | MSE_sur_real=621016671241424.8 | HV_sur=1.2014121755836489 | HV_real=1.2021984218853699 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=12 | time=1.884434461593628 | MSE_test=31131.265995659996 | MSE_sur_real=282223023.407513 | HV_sur=1.1997013284462799 | HV_real=1.2021984141100726 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=13 | time=1.8240714073181152 | MSE_test=31131.265995659996 | MSE_sur_real=157955013051219.06 | HV_sur=1.201412130789636 | HV_real=1.2021984209047343 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=14 | time=1.828233003616333 | MSE_test=31131.265995659996 | MSE_sur_real=1287275545012794.2 | HV_sur=1.201412170933197 | HV_real=1.202198422534751 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=15 | time=1.791318655014038 | MSE_test=31131.265995659996 | MSE_sur_real=50484759715373.664 | HV_sur=1.201412164215457 | HV_real=1.2021984231361302 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=16 | time=1.7778024673461914 | MSE_test=31131.265995659996 | MSE_sur_real=397234197203723.3 | HV_sur=1.2014121643430766 | HV_real=1.2021984209827152 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=17 | time=1.8307099342346191 | MSE_test=31131.265995659996 | MSE_sur_real=6.26810315098364e+16 | HV_sur=1.2014121816549042 | HV_real=1.2021984225861055 | HV_bounds_check=True | solution_count=None
method=GPR_RBF | optimizer=NSGA-II | problem=re22 | seed=18 | time=1.8165950775146484 | MSE_test=31131.265995659996 | MSE_sur_real=1.5297864769798466e+16 | HV_sur=1.2014121816544832 | HV_real=1.2021984223981137 | HV_bounds_check=True | solution_count=None
