
# 2026-06-17T14:36:15+01:00 | DDMOEA-GAN
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=4 | time=1.6732895374298096 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=5
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=5 | time=2.4142396450042725 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=6
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=6 | time=2.3105437755584717 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=3
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=7 | time=2.1132311820983887 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=3
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=8 | time=2.251291275024414 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=6
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=9 | time=1.676262378692627 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=2
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=10 | time=2.457613945007324 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=6
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=11 | time=2.4019925594329834 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=12 | time=1.809495449066162 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=3
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=13 | time=2.075382947921753 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=14 | time=1.9966092109680176 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=15 | time=2.2459781169891357 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=13
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=16 | time=1.6757338047027588 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=6
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=17 | time=2.121948003768921 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=3
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=18 | time=2.516036033630371 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=19 | time=2.542588949203491 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=5
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=20 | time=2.4318695068359375 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=21 | time=1.7999718189239502 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=22 | time=2.4088079929351807 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=23 | time=2.5012571811676025 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=9
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=24 | time=2.454719066619873 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=3
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=25 | time=1.9324743747711182 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=4
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=26 | time=2.4856905937194824 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=2
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=27 | time=2.3266501426696777 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=3
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=28 | time=2.4794554710388184 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=6
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=29 | time=1.997262716293335 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=8
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re22 | seed=30 | time=2.379958152770996 | MSE_test=1037157.3905371944 | MSE_sur_real=16220.072354550368 | HV_sur=1.2099998625000175 | HV_real=1.2021984231587426 | HV_bounds_check=None | solution_count=5
method=DDMOEA-GAN | optimizer=DDMOEA-GAN | problem=re23 | seed=1 | time=1.7495102882385254 | MSE_test=98180415442.49887 | MSE_sur_real=14887938832.352467 | HV_sur=1.2100000000000002 | HV_real=0.959016161043504 | HV_bounds_check=None | solution_count=100
