
# 2026-06-17T14:40:28+01:00 | TGPR-MO
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=5 | time=3.0768630504608154 | MSE_test=393423.287807428 | MSE_sur_real=3037.9135790321225 | HV_sur=1.2013229950556639 | HV_real=1.2021984360961746 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=6 | time=2.969358205795288 | MSE_test=393423.287807428 | MSE_sur_real=3114.178954469147 | HV_sur=1.201322429937346 | HV_real=1.2021984361842688 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=7 | time=2.9718899726867676 | MSE_test=393423.287807428 | MSE_sur_real=3053.323415932237 | HV_sur=1.20132255045971 | HV_real=1.2021868950284091 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=8 | time=2.9573323726654053 | MSE_test=393423.287807428 | MSE_sur_real=2967.8604246242353 | HV_sur=1.2013229010180075 | HV_real=1.2021984363278109 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=9 | time=3.0212275981903076 | MSE_test=393423.287807428 | MSE_sur_real=2898.6795834745285 | HV_sur=1.2013227961121238 | HV_real=1.2021984361704192 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=10 | time=2.9707581996917725 | MSE_test=393423.287807428 | MSE_sur_real=3134.931849100879 | HV_sur=1.2013227080893876 | HV_real=1.2021984363526719 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=11 | time=3.063981056213379 | MSE_test=393423.287807428 | MSE_sur_real=2932.3860320390195 | HV_sur=1.2013240433985004 | HV_real=1.2021954751392492 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=12 | time=2.97245454788208 | MSE_test=393423.287807428 | MSE_sur_real=2960.0050129295296 | HV_sur=1.2013228571379182 | HV_real=1.2021984362710576 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=13 | time=2.964507579803467 | MSE_test=393423.287807428 | MSE_sur_real=3257.095365888544 | HV_sur=1.2013232782466254 | HV_real=1.2021984362853895 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=14 | time=3.072758913040161 | MSE_test=393423.287807428 | MSE_sur_real=3209.20117339257 | HV_sur=1.2013224414087784 | HV_real=1.2021964933899965 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=15 | time=3.135403871536255 | MSE_test=393423.287807428 | MSE_sur_real=3190.4142992247394 | HV_sur=1.2013228258496635 | HV_real=1.2021984362161677 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=16 | time=3.1182520389556885 | MSE_test=393423.287807428 | MSE_sur_real=2895.96555245341 | HV_sur=1.2013220746016664 | HV_real=1.2021984363250078 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=17 | time=3.2049436569213867 | MSE_test=393423.287807428 | MSE_sur_real=3141.8800638612306 | HV_sur=1.2013225677555959 | HV_real=1.2021917688437018 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=18 | time=3.1413328647613525 | MSE_test=393423.287807428 | MSE_sur_real=3153.170612403439 | HV_sur=1.2013232876461126 | HV_real=1.2021984358728457 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=19 | time=3.180910587310791 | MSE_test=393423.287807428 | MSE_sur_real=3005.237617698732 | HV_sur=1.2013227939222093 | HV_real=1.2021984360397135 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=20 | time=3.1546924114227295 | MSE_test=393423.287807428 | MSE_sur_real=3075.4964215149967 | HV_sur=1.201322884672456 | HV_real=1.2021948904831596 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=21 | time=3.0062460899353027 | MSE_test=393423.287807428 | MSE_sur_real=3040.184775216646 | HV_sur=1.2013227119443977 | HV_real=1.2021984362285771 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=22 | time=2.902806520462036 | MSE_test=393423.287807428 | MSE_sur_real=2991.1765074363475 | HV_sur=1.2013227392276697 | HV_real=1.2021984361915046 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=23 | time=2.9248874187469482 | MSE_test=393423.287807428 | MSE_sur_real=2961.604726873374 | HV_sur=1.2013234834612807 | HV_real=1.2021984362480662 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=24 | time=2.879484176635742 | MSE_test=393423.287807428 | MSE_sur_real=2830.048401964127 | HV_sur=1.2013241237580077 | HV_real=1.202198435983282 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=25 | time=2.9423916339874268 | MSE_test=393423.287807428 | MSE_sur_real=3124.1354416221207 | HV_sur=1.2013229910979506 | HV_real=1.2021984361668856 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=26 | time=2.9079346656799316 | MSE_test=393423.287807428 | MSE_sur_real=3016.771155422828 | HV_sur=1.2013235314511872 | HV_real=1.2021888901126048 | HV_bounds_check=None | solution_count=50
method=TGPR-MO | optimizer=TGPR-MO | problem=re22 | seed=27 | time=2.9923224449157715 | MSE_test=393423.287807428 | MSE_sur_real=2931.333994776306 | HV_sur=1.2013239504727513 | HV_real=1.202198436080662 | HV_bounds_check=None | solution_count=49
