
# 2026-06-17T21:56:45+00:00 | GPR_Matern
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=4 | time=2.0974526405334473 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.097655348658334e-05 | HV_sur=0.5716978672112534 | HV_real=0.5722049970574403 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=5 | time=2.106886148452759 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.107185433415322e-05 | HV_sur=0.5710326850710146 | HV_real=0.5715801127996843 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=6 | time=2.1677191257476807 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.068018728451334e-05 | HV_sur=0.5718101125425551 | HV_real=0.5722730638644288 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=7 | time=1.989891767501831 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.014166778452167e-05 | HV_sur=0.5715859758495331 | HV_real=0.57206071222323 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=8 | time=1.9953746795654297 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.633523541068215e-05 | HV_sur=0.5719467999041253 | HV_real=0.5724448676041627 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=9 | time=2.00839900970459 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.021128810647255e-05 | HV_sur=0.5719405004848821 | HV_real=0.572427384468666 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=10 | time=1.9743804931640625 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.75745424949854e-05 | HV_sur=0.5719141385241078 | HV_real=0.5723780451856664 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=11 | time=2.1639482975006104 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.561600673903171e-05 | HV_sur=0.5716511769722764 | HV_real=0.5722116033796965 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=12 | time=2.1020965576171875 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.748948855301e-05 | HV_sur=0.5719952796101481 | HV_real=0.5724537861320348 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=13 | time=1.9893667697906494 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.754002310310792e-05 | HV_sur=0.5717449426601334 | HV_real=0.5722337257814626 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=14 | time=1.9918239116668701 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.788589741074057e-05 | HV_sur=0.571995016929105 | HV_real=0.5724088831982439 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=15 | time=1.9971253871917725 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.444891313410842e-05 | HV_sur=0.5719054509614535 | HV_real=0.5724225001736462 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=16 | time=1.9485881328582764 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.93555952236823e-05 | HV_sur=0.5713937167561375 | HV_real=0.5719125784638628 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=17 | time=2.032980442047119 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.981050445949178e-05 | HV_sur=0.5716809585555727 | HV_real=0.5721573446456676 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=18 | time=2.0740339756011963 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.114925436099717e-05 | HV_sur=0.5718936112724801 | HV_real=0.572327765989465 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=19 | time=2.0840837955474854 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.468982044989401e-05 | HV_sur=0.5717295793825611 | HV_real=0.5722432397355965 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=20 | time=1.9904112815856934 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.843668581471168e-05 | HV_sur=0.572065760208684 | HV_real=0.5725693206305148 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=21 | time=1.9548723697662354 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.51740709139931e-05 | HV_sur=0.5716635543658318 | HV_real=0.5721324213175903 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=22 | time=1.9442853927612305 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.639469542165135e-05 | HV_sur=0.5718526576074412 | HV_real=0.5722952424048126 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=23 | time=1.957488775253296 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.628253368780489e-05 | HV_sur=0.572056181540179 | HV_real=0.5725026376386372 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=24 | time=2.105602741241455 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.006823528477558e-05 | HV_sur=0.5715680966609616 | HV_real=0.5720877201184978 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=25 | time=2.038952112197876 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.351664514175593e-05 | HV_sur=0.5717990674818277 | HV_real=0.572298633648698 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=26 | time=1.9189953804016113 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.187286263341554e-05 | HV_sur=0.5712695098978522 | HV_real=0.5717624241356574 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=27 | time=1.9515581130981445 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.693633336517533e-05 | HV_sur=0.5719139889742776 | HV_real=0.5723540028492959 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=28 | time=1.9206268787384033 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.1011001065149e-05 | HV_sur=0.5691669546796565 | HV_real=0.5697511678737794 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=29 | time=1.9268193244934082 | MSE_test=3.275515764143691e-06 | MSE_sur_real=8.217773200919462e-05 | HV_sur=0.5716148552127817 | HV_real=0.5720693889309519 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=Dual-Ranking+NSGA-II | problem=re21 | seed=30 | time=2.0170648097991943 | MSE_test=3.275515764143691e-06 | MSE_sur_real=7.955070645578232e-05 | HV_sur=0.5717178341874386 | HV_real=0.5722113776735226 | HV_bounds_check=True | solution_count=None

# 2026-06-17T21:59:08+00:00 | GPR_Matern
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=1 | time=1.9693078994750977 | MSE_test=32497.25311254042 | MSE_sur_real=1684970626897.073 | HV_sur=1.2023831187668736 | HV_real=1.2021984223111422 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=2 | time=1.935901403427124 | MSE_test=32497.25311254042 | MSE_sur_real=491835053558943.75 | HV_sur=1.2036890036431467 | HV_real=1.2021984231236633 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=3 | time=1.9387414455413818 | MSE_test=32497.25311254042 | MSE_sur_real=1157961094754.1772 | HV_sur=1.2027519671816131 | HV_real=1.2021984152102627 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=4 | time=1.9380252361297607 | MSE_test=32497.25311254042 | MSE_sur_real=40395450651.41641 | HV_sur=1.2026275519174043 | HV_real=1.2021984185569647 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=5 | time=1.950212001800537 | MSE_test=32497.25311254042 | MSE_sur_real=145323031131.97775 | HV_sur=1.2023817846892952 | HV_real=1.202198417165773 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=6 | time=2.072896718978882 | MSE_test=32497.25311254042 | MSE_sur_real=902779618945848.1 | HV_sur=1.2027520838640142 | HV_real=1.2021984213500485 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=7 | time=1.998166799545288 | MSE_test=32497.25311254042 | MSE_sur_real=4989025647582.983 | HV_sur=1.2023818746862314 | HV_real=1.2021984229008 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=8 | time=1.947139024734497 | MSE_test=32497.25311254042 | MSE_sur_real=17101475125.835012 | HV_sur=1.2035397732334052 | HV_real=1.202198401400935 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=9 | time=1.9274797439575195 | MSE_test=32497.25311254042 | MSE_sur_real=34465809056.012856 | HV_sur=1.202381565486563 | HV_real=1.202198391858258 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=10 | time=1.9474215507507324 | MSE_test=32497.25311254042 | MSE_sur_real=278476913788.8476 | HV_sur=1.2039018703130138 | HV_real=1.202198416293154 | HV_bounds_check=True | solution_count=None
method=GPR_Matern | optimizer=NSGA-II | problem=re22 | seed=11 | time=1.9368724822998047 | MSE_test=32497.25311254042 | MSE_sur_real=10002026689640.455 | HV_sur=1.2023684845392726 | HV_real=1.202198423000495 | HV_bounds_check=True | solution_count=None
