
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=3 | time=425.9945456981659 | MSE_test=805.8690862196979 | MSE_sur_real=43956.27067088107 | HV_sur=0.6002778002981832 | HV_real=0.5932363281099723 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=4 | time=427.67246985435486 | MSE_test=805.8690862196979 | MSE_sur_real=0.4979302253055095 | HV_sur=0.5992005750230085 | HV_real=0.597805997500887 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=5 | time=428.11212182044983 | MSE_test=805.8690862196979 | MSE_sur_real=33740.05094350722 | HV_sur=0.6000068074115019 | HV_real=0.5899753838860576 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=6 | time=431.1345751285553 | MSE_test=805.8690862196979 | MSE_sur_real=49445.72908825827 | HV_sur=0.6001050788391069 | HV_real=0.5964498769103715 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=7 | time=430.6263301372528 | MSE_test=805.8690862196979 | MSE_sur_real=1.786206476426962 | HV_sur=0.59932511096808 | HV_real=0.5972962234745864 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=8 | time=430.7119197845459 | MSE_test=805.8690862196979 | MSE_sur_real=378.615463699993 | HV_sur=0.5999112861637301 | HV_real=0.5932216569627522 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=9 | time=430.7283124923706 | MSE_test=805.8690862196979 | MSE_sur_real=4.098807034825916 | HV_sur=0.5994034990915909 | HV_real=0.5972435098596846 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=10 | time=430.1134057044983 | MSE_test=805.8690862196979 | MSE_sur_real=8.295441271652086 | HV_sur=0.5994483642011041 | HV_real=0.5972326308485368 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=11 | time=429.56776237487793 | MSE_test=805.8690862196979 | MSE_sur_real=2186.2009827258594 | HV_sur=0.5996611475924917 | HV_real=0.5899753848670383 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=12 | time=429.9160695075989 | MSE_test=805.8690862196979 | MSE_sur_real=0.25428878794116 | HV_sur=0.5991469806228235 | HV_real=0.5971919594749961 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=13 | time=429.2985739707947 | MSE_test=805.8690862196979 | MSE_sur_real=1.1721960820618513 | HV_sur=0.5992967832190467 | HV_real=0.5974479404559274 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=14 | time=428.57873487472534 | MSE_test=805.8690862196979 | MSE_sur_real=12.121983007412128 | HV_sur=0.5994372399465716 | HV_real=0.5977012242979729 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=15 | time=427.36661529541016 | MSE_test=805.8690862196979 | MSE_sur_real=200369.35291307504 | HV_sur=0.600018821711033 | HV_real=0.5964498815648311 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=16 | time=427.4160108566284 | MSE_test=805.8690862196979 | MSE_sur_real=4.647935308106756 | HV_sur=0.5994220407597808 | HV_real=0.5972299652167797 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=17 | time=427.212961435318 | MSE_test=805.8690862196979 | MSE_sur_real=2.1127852085295387 | HV_sur=0.5993855867760374 | HV_real=0.5976862147742162 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=18 | time=425.93399143218994 | MSE_test=805.8690862196979 | MSE_sur_real=1315.2786446368311 | HV_sur=0.5998575412201275 | HV_real=0.5899750843640664 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=19 | time=424.7244141101837 | MSE_test=805.8690862196979 | MSE_sur_real=0.966658982011909 | HV_sur=0.5992590339203929 | HV_real=0.5978281821772418 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=20 | time=425.6869673728943 | MSE_test=805.8690862196979 | MSE_sur_real=32098.519319623934 | HV_sur=0.6014113936075227 | HV_real=0.5972518845850212 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=21 | time=425.7003059387207 | MSE_test=805.8690862196979 | MSE_sur_real=3.2993745884446066 | HV_sur=0.5994035827920394 | HV_real=0.5972405256465728 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=22 | time=425.56467843055725 | MSE_test=805.8690862196979 | MSE_sur_real=322859.023404389 | HV_sur=0.5997548187109308 | HV_real=0.5964502979332589 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=23 | time=425.5032753944397 | MSE_test=805.8690862196979 | MSE_sur_real=148638.4256788018 | HV_sur=0.599897441478231 | HV_real=0.5963830584804402 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=24 | time=427.6446132659912 | MSE_test=805.8690862196979 | MSE_sur_real=49610.538473739354 | HV_sur=0.5996140534971158 | HV_real=0.5941378920912119 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=25 | time=426.876038312912 | MSE_test=805.8690862196979 | MSE_sur_real=6.493717296722964 | HV_sur=0.5994297325239121 | HV_real=0.5971671059369434 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=26 | time=427.00315952301025 | MSE_test=805.8690862196979 | MSE_sur_real=4.939118705448479 | HV_sur=0.5994613695764313 | HV_real=0.5973337049780392 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=27 | time=426.63055443763733 | MSE_test=805.8690862196979 | MSE_sur_real=4.633623820701514 | HV_sur=0.5994113773529506 | HV_real=0.597226713180084 | HV_bounds_check=None | solution_count=50
method=Prob-MOEA/D | optimizer=Prob-MOEA/D | problem=welded_beam | seed=28 | time=425.3252172470093 | MSE_test=805.8690862196979 | MSE_sur_real=19512.405637063246 | HV_sur=0.5999761917522032 | HV_real=0.5963833378790084 | HV_bounds_check=None | solution_count=50
